65 gated launches (data/derived/live_vs_table/crowd_signal_oos_sep2021.json), $15, before gas: mean / win
position            h15           h30           h60          h150          h300          h600   n
first      +18.1%/66%  +13.6%/66%  +14.0%/63%  +16.2%/62%  +16.8%/58%   +8.0%/46%   65
behind1    +11.2%/53%   +7.1%/58%   +7.8%/56%   +9.7%/59%  +10.9%/54%   +2.9%/44%   59
behind2     +6.0%/44%   +2.6%/51%   +3.6%/51%   +5.6%/53%   +6.5%/51%   -0.5%/45%   55
behind3     +2.2%/37%   -2.0%/39%   -2.7%/43%   +1.3%/46%   +1.9%/43%   -4.4%/43%   46
last        -4.4%/22%   -7.0%/25%   -6.5%/25%   -4.9%/31%   -3.7%/37%  -10.6%/31%   65
E1plus3last  -10.1%/14%  -10.8%/14%  -10.2%/18%   -8.5%/25%   -7.5%/32%  -13.8%/28%   65
E2first     -7.5%/12%   -8.6%/15%   -7.3%/25%   -5.5%/34%   -5.2%/35%  -11.3%/31%   65
E2last      -8.8%/ 9%   -9.8%/12%   -8.6%/23%   -6.9%/32%   -6.9%/34%  -12.9%/31%   65
POSO_DONE
