60 gated launches (data/derived/live_vs_table/crowd_signal_sep2223.json), $15, before gas: mean / win
position            h15           h30           h60          h150          h300          h600   n
first      +12.9%/60%  +15.2%/65%  +18.9%/62%  +30.6%/72%  +37.1%/73%  +40.1%/70%   60
behind1     +4.9%/46%   +7.1%/54%  +10.8%/56%  +21.6%/70%  +26.9%/67%  +29.7%/65%   57
behind2     +0.1%/38%   +2.4%/44%   +5.8%/47%  +15.6%/56%  +21.0%/60%  +24.0%/60%   55
behind3     -0.6%/40%   +2.4%/43%   +2.6%/50%  +11.9%/52%  +19.5%/64%  +19.4%/64%   42
last        -9.8%/22%   -7.9%/28%   -4.4%/32%   +4.2%/45%   +8.5%/50%  +12.3%/53%   60
E1plus3last  -12.8%/13%  -10.8%/18%   -6.6%/27%   -0.0%/40%   +5.8%/45%   +9.8%/47%   60
E2first     -7.1%/23%   -6.4%/20%   -1.4%/28%   +4.8%/43%  +10.0%/50%  +14.1%/57%   60
E2last      -7.6%/18%   -6.8%/17%   -2.1%/28%   +3.9%/43%   +8.8%/50%  +13.1%/55%   60
