34 gated launches (data/derived/live_vs_table/crowd_signal.json), $15, before gas: mean / win
position            h15           h30           h60          h150          h300          h600   n
first      +26.4%/88%  +25.9%/76%  +19.9%/50%  +17.9%/62%  +22.5%/62%  +18.3%/59%   34
behind1    +18.0%/79%  +17.7%/73%  +12.2%/48%   +9.9%/48%  +13.7%/61%  +10.7%/58%   33
behind2    +14.0%/71%  +14.0%/71%   +8.5%/42%   +6.0%/39%  +11.3%/55%   +7.8%/52%   31
behind3    +13.0%/62%  +15.9%/62%  +10.0%/46%   +6.9%/42%  +16.5%/62%  +14.7%/58%   26
last        -0.6%/29%   -0.5%/35%   -5.0%/26%   -5.6%/21%   -2.4%/38%   -5.5%/44%   34
E1plus3last   -3.0%/29%   -3.5%/35%   -6.9%/24%   -7.9%/21%   -5.8%/44%   -8.0%/41%   34
E2first     -1.3%/32%   -2.5%/35%   -5.0%/29%   -5.6%/26%   -4.5%/41%   -6.1%/41%   34
E2last      -2.5%/26%   -3.7%/29%   -6.1%/29%   -6.8%/26%   -5.8%/41%   -7.3%/41%   34
POSB_DONE
